age,Afghanistan2012,Japan2012
5,90.10 ,99.70 
10,89.20 ,99.60 
20,87.40 ,99.40 
30,84.30 ,99.00 
40,80.50 ,98.30 
50,74.80 ,96.80 
60,64.70 ,93.40 
70,46.90 ,85.80 
80,21.20 ,68.80 
90,2.90 ,37.50 
99,0.00 ,6.20 
